

RUN: run status: enemy: 5; fitness: 88.67982739098296; player life: 43.60000000000029; enemy life: 0; time: 293

RUN: run status: enemy: 5; fitness: 87.24324619773175; player life: 29.20000000000026; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 88.58901301948917; player life: 41.80000000000029; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: 92.91425332628681; player life: 81.40000000000018; enemy life: 0; time: 186

RUN: run status: enemy: 5; fitness: 92.96669517527553; player life: 82.60000000000016; enemy life: 0; time: 199

RUN: run status: enemy: 5; fitness: 90.5052886203982; player life: 61.000000000000334; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 1.2322447210178815; player life: 81.40000000000018; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 89.46691377820123; player life: 55.00000000000032; enemy life: 0; time: 417

RUN: run status: enemy: 5; fitness: -6.115892125483034; player life: 0; enemy life: 100; time: 453

RUN: run status: enemy: 5; fitness: 91.1145531023568; player life: 67.6000000000003; enemy life: 0; time: 283

RUN: run status: enemy: 5; fitness: 91.03315225241283; player life: 67.6000000000003; enemy life: 0; time: 307

RUN: run status: enemy: 5; fitness: -6.747586526829315; player life: 0; enemy life: 100; time: 852

RUN: run status: enemy: 5; fitness: 89.9052886203982; player life: 55.00000000000032; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 90.0852886203982; player life: 56.800000000000324; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: -4.647755278982112; player life: 22.600000000000243; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 91.36791083107562; player life: 74.20000000000024; enemy life: 0; time: 425

RUN: run status: enemy: 5; fitness: 91.59650369121832; player life: 71.80000000000027; enemy life: 0; time: 266

RUN: run status: enemy: 5; fitness: 93.03425332628682; player life: 82.60000000000016; enemy life: 0; time: 186

RUN: run status: enemy: 5; fitness: 86.10668156671964; player life: 27.400000000000254; enemy life: 0; time: 760

RUN: run status: enemy: 5; fitness: 89.7252886203982; player life: 53.200000000000315; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: -2.187755278982107; player life: 47.2000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 84.87195712549159; player life: 11.20000000000023; enemy life: 0; time: 517

RUN: run status: enemy: 5; fitness: 91.12791083107561; player life: 71.80000000000027; enemy life: 0; time: 425

RUN: run status: enemy: 5; fitness: 90.8652886203982; player life: 64.60000000000034; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 90.63750719048565; player life: 67.6000000000003; enemy life: 0; time: 456

RUN: run status: enemy: 5; fitness: 38.378594348235865; player life: 0; enemy life: 50.0; time: 751

RUN: run status: enemy: 5; fitness: 89.72901301948917; player life: 53.200000000000315; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: 91.61606371931283; player life: 76.00000000000023; enemy life: 0; time: 397

RUN: run status: enemy: 5; fitness: 91.25982739098296; player life: 69.40000000000029; enemy life: 0; time: 293

RUN: run status: enemy: 5; fitness: -6.315358001522335; player life: 0; enemy life: 100; time: 553

RUN: run status: enemy: 5; fitness: 84.15531660910582; player life: 2.8000000000002343; enemy life: 0; time: 457

RUN: run status: enemy: 5; fitness: 93.00482618476619; player life: 80.80000000000018; enemy life: 0; time: 160

RUN: run status: enemy: 5; fitness: 93.2448261847662; player life: 83.20000000000016; enemy life: 0; time: 160

RUN: run status: enemy: 5; fitness: 93.28670840550224; player life: 84.40000000000015; enemy life: 0; time: 173

RUN: run status: enemy: 5; fitness: 92.91425332628681; player life: 81.40000000000018; enemy life: 0; time: 186

RUN: run status: enemy: 5; fitness: 93.28670840550224; player life: 84.40000000000015; enemy life: 0; time: 173

RUN: run status: enemy: 5; fitness: 90.4598287472796; player life: 64.00000000000034; enemy life: 0; time: 380

RUN: run status: enemy: 5; fitness: 92.68670840550224; player life: 78.4000000000002; enemy life: 0; time: 173

RUN: run status: enemy: 5; fitness: 92.16111423509889; player life: 81.40000000000018; enemy life: 0; time: 395

RUN: run status: enemy: 5; fitness: 91.06791083107562; player life: 71.20000000000027; enemy life: 0; time: 425

RUN: run status: enemy: 5; fitness: 90.0252886203982; player life: 56.20000000000032; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: -2.067755278982106; player life: 48.400000000000304; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 21.00106343805332; player life: 0; enemy life: 70.0; time: 403

RUN: run status: enemy: 5; fitness: 93.2448261847662; player life: 83.20000000000016; enemy life: 0; time: 160

RUN: run status: enemy: 5; fitness: 92.46627799644578; player life: 79.0000000000002; enemy life: 0; time: 229

RUN: run status: enemy: 5; fitness: 28.772244721017877; player life: 86.80000000000013; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: 91.12791083107561; player life: 71.80000000000027; enemy life: 0; time: 425

RUN: run status: enemy: 5; fitness: 91.79041085661014; player life: 77.20000000000022; enemy life: 0; time: 376

RUN: run status: enemy: 5; fitness: 47.84302101441445; player life: 0; enemy life: 40.0; time: 472

RUN: run status: enemy: 5; fitness: 89.7252886203982; player life: 53.200000000000315; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 87.83982739098296; player life: 35.20000000000027; enemy life: 0; time: 293

RUN: run status: enemy: 5; fitness: 92.42835394814497; player life: 78.4000000000002; enemy life: 0; time: 224

RUN: run status: enemy: 5; fitness: 90.0252886203982; player life: 56.20000000000032; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 89.7841626305352; player life: 57.400000000000325; enemy life: 0; time: 386

RUN: run status: enemy: 5; fitness: 85.134994685964; player life: 11.80000000000023; enemy life: 0; time: 422

RUN: run status: enemy: 5; fitness: 93.2448261847662; player life: 83.20000000000016; enemy life: 0; time: 160

RUN: run status: enemy: 5; fitness: 93.2448261847662; player life: 83.20000000000016; enemy life: 0; time: 160

RUN: run status: enemy: 5; fitness: 93.00482618476619; player life: 80.80000000000018; enemy life: 0; time: 160

